Area,Fatal (Y/N),Area_Lat,Area_Lng
Hamilton,3,37.9426096,-96.19513200000002
Hawaii,223,19.8967662,-155.5827818
Ho Ha Wan Marine Park,1,22.4736848,114.3356288
Holquin Province,2,20.7837893,-75.8069082
Hong Kong,2,22.3193039,114.1693611
Honiara,1,-9.4456381,159.9728999
Hua Hin,2,12.568452,99.9577223
Ibiza Island,1,39.0200099,1.4821482
Illeginni Atoll,1,9.0864456,167.4724765
Inhambe Province,7,-22.8527997,34.5508758
Inner Hebrides,1,56.5,-5.9999999
Iran,1,32.427908,53.688046
Isla Provedencia,1,13.3387613,-81.3729372
Island of Kos,1,36.8915064,27.2877228
Istria County,1,45.1286455,13.901542
Italy,1,41.87194,12.56738
Japan,2,36.204824,138.252924
Jeju Province,1,33.4890113,126.4983023
Johnston Atoll,1,16.7295035,-169.5336477
Johor,1,1.4853682,103.7618154
Kagawa Prefecture,1,34.2225915,134.0199152
Kagoshima Prefecture,1,31.3911958,130.8778586
Kedah,1,6.1183964,100.3684595
Keeling Islands,1,-12.164165,96.87095599999999
Kent,1,41.1536674,-81.3578859
Kentucky,1,37.8393332,-84.2700179
Khuzestan Province,2,31.4360149,49.041312
Kingston Parish,2,17.9683271,-76.782702
Kochi Prefecture,1,33.5481246,133.2521507
Kowloon Peninsula,1,22.316667,114.183333
Kumamoto Prefecture,1,32.8594427,130.7969149
Kuril Islands in the Pacific,1,47.16037960000001,150.9705378
KwaZulu-Natal,135,-28.5305539,30.8958242
Kwajalein Atoll,1,8.716667,167.733333
L' Etang SalÃ©-les-Bains,1,-21.2718734,55.353065
L'Etang-Sale,2,-21.2498393,55.3696628
La Libertad,3,13.490697,-89.3084607
La Saline-les-Bains,1,-21.0926702,55.2397317
Lamu Archipelago,1,-2.1567497,41.0589571
Lau,2,45.06470729999999,-83.42905999999999
Lau Province,1,-18.806656,-179.3985283
Laucala Island,1,-16.7527144,-179.6863219
Le Port,1,-20.9456859,55.295055
Liguria,1,44.3167917,8.3964938
Ligurian,1,44.3167917,8.3964938
Limpopo River,5,-22.3573984,30.2928073
LimÃ³n Province,1,9.989639799999999,-83.03324169999999
Lomaiviti Island Group,1,-17.3012384,179.4079973
Los Vilos,1,-31.9121865,-71.5112017
Louisiade Archipelago,2,-10.9612237,152.5418135
Louisiana,7,30.9842977,-91.96233269999999
Loyalty Islands,6,-21.0454468,167.3324425
Luzon Island,5,16.5662318,121.2626366
Madang,5,-5.2218841,145.7856324
Madang Province,10,-4.984973300000001,145.1375834
Madeira Islands,1,32.76070740000001,-16.9594723
Mafia Island,1,-7.869895000000001,39.7549511
Magdalena Department,1,10.4113014,-74.4056612
Maine,1,45.253783,-69.4454689
Majorca,1,39.6952629,3.0175712
Makira-Ulawa Province,1,-10.5737447,161.8096941
Malampa Province,9,-16.4011405,167.6077865
Malaysia,1,4.210484,101.975766
Manfredonia ,1,41.6307347,15.9165105
Manila,1,14.5995124,120.9842195
Manus Island,1,-2.0941169,146.8760951
Maputo Province,3,-25.2569876,32.5372741
MaranhÃ£o,5,-4.9609498,-45.2744159
Marches Region,1,43.5058744,12.989615
Marquesas,1,-9.781216200000001,-139.0817124
